,title,write_date,score,content
26,감쪽같은 그녀,2019-12-29,6,"홀로 인생을 즐기고 있던 한 할머니와 그녀의 듣도 보도 못한 두 손녀딸의 기막힌 동거를 다뤘지만, 옛날에 나온 이와 비슷한 외화와 내용과 거의 비슷해서 왠지 리메이크한 것 같은 느낌만 든 영화였습니다! 전반적으로 내용도 그저 그렇고, 공감도와 개연성도 그저 그래서 다 그냥 볼만한 영화였으니, 별 3개 드립니다!! more"
27,감쪽같은 그녀,2019-12-07,6,다소 전형적인 내용임에도 마음을 적시게 만드는 힘이 있다.
28,감쪽같은 그녀,2019-12-05,10,신파는 임플란트 어금니처럼
29,강변호텔,2019-04-10,10,"시인 영환(기주봉)은 제목처럼 한 지방의 조용한 강 주위의 호텔에서  일어난다. 내레이션 이후 자신의 아들들 경수(권해효)와 병수(유준상)가  찾아온다고 전화를 하고 전화 사이에서 몇 분간 객실에서 만날지, 호텔  찻집에서 만날지 설왕설래가 오고가다가 찻집에서 만나기로 한다.  영환이 아들과의 설왕설래를 할 동안 이 호텔에서는 상희(김민희)가 묵고  있었고 영환과 동일한 행위로 연주(송선미)를 전화로 불러내 객실에서  만난다. 이 둘이 만나는 과정에서 영환과 아들이 어디서 만날지를  티격태격할 것도 없이 이 둘은 남자들과는 상반되게 서로 순조롭게 만나게  된다.  영환이 아들을 기다리는 동안 영환은 찻집의 메마른 화초를 보고 물을  줘야겠다며 걱정을 하고 그 순간 아들들이 당도하지만 영환과 아들들은  서로 만나지 못한다. 대신 영환은 찻집에 있다가 졸다가 눈이 쌓인 바깥에서  산책을 하는 상희와 연주를 보고는 시인답게 그 둘의 아름다움을 상찬하러  가서 좋은 인상을 주고 온다. 영환은 이 두 여인을 만나기 전에도 호텔을  관리하는 직원에게 싸인을 해주며 어느 정도 명성 있는 작가로 작품에서  설정되어 있으며 영환은 그저 계산이나 어떤 악의적이고 목적자체를  순수하게 그 두 여인에게 다가간다.  영환이 만나지 못한 아들들은 찻집에서 아버지를 기다리며 대화를 하는데  커피를 사온 경수는 아버지가 찻집에서 만나자고 한 게 못마땅하고  영화감독인 동생 병수와 얘기를 하다가 동생 이름인 병수로 시비가 붙더니  이후에는 경수 자신의 키 갖고 논쟁이 붙자 불편한 기색을 드러낸다.  영화의 구도는 아주 단순하다. 남자 셋, 여자 둘을 강변 호텔을 배경으로  등장시켜 시인인 영환과 여인들인 상희와 연주의 만남은 아주 좋게  정서적으로 흡족하게 연출한 반면 남자들인 영환과 아들들의 만남은  상당히 격렬하고 단순한 의견 대립에 상당한 시간을 소요하는 모습이다.  그러다가 결국 뒤늦게 만난 영환과 아들들은 대화를 하다가도 영환이 다시  여인들을 만나러 가거나 혹은 두 아들을 남겨놓고 순간적으로 행방불명이  되기도 한다.  남자들의 대화가 서로 격렬하다고 한다면 여성들은 공감과 위로로서  대화를 이어나가고 확실히 남자들의 공격적인 성향과는 아주 대비되는  모습을 보인다. 전형적인 성적 대화의 유형이 작품에서 드러나는데 그래서  여인들은 시간적으로 저녁을 먹는 모습에서 같은 공간에 있는 이 세부자의  갈등을 지속적으로 돌아본다.  결국 식당에서도 영환은 아들들과 호텔로 돌아가는 길이 어긋나고 결국  남아있는 여인들을 위해 시를 짓고 그 시를 읊으며 여인들의 감동을 이끌어  내며 소주를 연거푸 들이켠다.  영환은 결국 그 여인들에게 아름다움을 칭송하며 죽어도 여한이 없다고  하는데 작품 말미 아들들에게 호텔 욕조에서 발견된 영환은 싸늘한 주검이  되어있고 아들 둘은 아버지의 갑작스런 변고에 격렬한 반응을 보이며  애통해 하지만 여인 둘은 영환의 죽음을 아는지 모르는지 서로 침대에 누워  그의 죽음을 애도하듯 흐느낄 뿐이다.  성차에 대한 대조와 그 대조의 접점을 이루는 영환이라는 인물을 통해  작품은 종국적으로 영환이 추구하는 미를 획득하고 영환의 말대로 그 삶의  목적을 이룬 인물을 세상과 이별시킴으로써 한 시인의 최종 유작을  만들어내는 과정을 묘사한다. 그 과정에서 아들들은 아름다움 보다는 유사  남자들로서의 일종의 경쟁관계가 설정되고 여인들에겐 한 없이 배려와  존중이 보이는 구성은 흥미롭기도 하거니와 한 공간에서 벌어지는 소소한  사건과 사고를 통해 역시나 초현실적인 모습을 연출하는 홍상수의 기교가  즐거울 뿐이다. more"
30,갤버스턴,2019-07-15,7,현실이 지옥인 곳이 있다. 굳이 목숨이 왔다 갔다 하는 전장이 아니더라도  삶 자체가 불안정하고 희망이 없는 곳 또한 지옥이다. 로이(벤 포스터)는  조직의 해결사 노릇을 하는 사람이고 록키(엘르 패닝)는 희망 없는 텍사스  오렌지카운티에서 탈출을 하고자 하는 소녀이자 뭔가에 쫓기는 처지다.  작품에서 로이와 록키의 관계는 흔히 보아오던 서로 삶의 불안정한 처지에  있는 이들이 위로해 주는 구도를 띤다. 무뚝뚝하고 과묵한 로이와 록키는  이성 간에 애정이 아닌 인간 사이에서 발생할 수 있는 연민의 관계라고 할  수 있고 이 둘의 모습은 그리 새롭지는 않다.  로이가 조직의 일을 처리하다가 난관에 봉착하고 그 때 록키가 얽혀들고  록키는 자신이 살았던 집에서 동생이라고 하는 티파니(릴리 라인하트)를  데려온다. 지옥에서 탈출하고자 하는 이들 치고는 점점 더 상황이 악화된다.  로이가 처한 최악의 상황에서 록키가 얽혀드는 구도로 진행되는 작품엔  희망이 없다. 로이가 해결사라고는 하나 작품은 액션에 방점을 전혀 찍을  의사도 없으며 배우들의 연기력에 기대려 하지만 좋은 연기력과 작품의  전반적인 플롯이 유기적이고 짜임새 있게 구성된 모습은 아니다.  폭발력 있는 배우들이 출연한 작품치고 그 연기력이 분해되는 모습의  작품은 아주 신선하지도 강렬한 인상을 남기지도 못한 채 어정쩡한 반전을  남긴다. 그 와중에 한 생명을 확실하게 구하게 되는데 지옥 탈출기에서  순간적으로 부모의 헌신과 사랑 얘기를 내세우는 것도 적잖이 당황스럽다. more
31,갤버스턴,2019-07-13,6,"비참하고 허망하면서 조금 짠한 영화였습니다! 병을 앓고 살려는 의지를 잃은 킬러와 밑바닥에서 고통받는 어린 매춘부 여성과의 고통스럽고 진한 동행을 보면서 왠지 '아저씨'와 '맨 온 파이어'와 비슷하다는 생각이 들었습니다! 이 영화를 보면서 밑바닥 인생이 참으로 비정하고 참혹하다는 것을 깨달았으니, 별 3개 드립니다!! more"
32,갤버스턴,2019-07-07,7,아픔을 가진 두 사람의 처절한 생존기
35,걸캅스,2020-02-27,5,약간 유치하고 뻔한 스토리였지만...걸크러쉬 작렬...찰진 욕 대사도 굿~~
36,걸캅스,2019-05-19,7,"현실에서 흔히 벌어지고 있는 사이버 성범죄 사건의 배후를 캐기 위한 두 여형사의 활약을 다룬 영화로, 라미란과 이성경의 조합을 괜찮았지만 왠지 여성판 '투캅스'처럼 느껴졌을 뿐더러 결말도 반전이 거의 없는 그야말로 뻔함 그 자체여서 솔직히 그럭저럭한 영화였으나 통쾌한 결말이어서 나름대로 볼만했으니, 별 3개 반 드립니다!! more"
37,걸캅스,2019-05-19,10,"민중의 세금으로 운영되는 공공기관은 봉사기관에 해당하나 그  공공기관에서 주로 극진한 대접을 받아야 할 세금을 지불하는 이들이  배재될 때가 아주 많다. 공공기관의 노동자들이 자신들의 사적 성취만을  추구한 나머지 일반 사기업처럼 인사고과 성적에 반영될 만한 일거리만  추구하는 악습 탓이다.  경찰은 범죄자를 단죄하고 추가 범죄를 방지 예방하는 게 주 업무지만  여기에는 모든 범죄가 경중으로 나뉘고 자신들의 성과를 위해 중으로  취급되는 범죄만 다루기 일쑤다. 암수살인에서도 사건의 진실과  피해자들을 위주로 생각했던 형사가 외부인 취급을 받았던 것처럼  걸캅스의 박미영(라미란), 조지혜(이성경), 양장미(최수영)도 어느 사건을  파헤치는 과정에서 동일하게 조직으로부터 배재 당한다.  90년대 형사기동대 여형사로 활약했던 박미영은 결혼, 출산으로 형사가  아닌 경찰서 민원 봉사 실 주무관으로 전락했고 작품의 설정 상 그녀의  시누이인 조지혜도 동일한 경찰이지만 강력계에서 고집 세고 과감한  행동으로 천덕꾸러기 취급을 받기 일쑤다. 양장미도 순수하게 조직의 말만  고분고분 듣기보다 해커 출신으로 전문적인 능력을 감추고 발랄함만을  선보이며 박미영과 친하게 지내지만 민원실장(염혜란)의 눈치를 보는  동일한 입장이다.  여기에 미영의 남편이자 조지혜의 오빠인 조지철(윤상현)은 만년  고시생이자 실업자로 두 여자들 등쌀에 미움을 받는 연약한 남성이자  무능한 이로 나오지만 무능과 멸시 속에서도 남편이자 오빠로서 두 여인이  사건을 해결하는 과정에서 적잖은 역할을 하게 된다.  박미영과 조지혜가 주변부로 밀려난 상황에서 맞닥뜨린 사건은 동일한  여성을 성욕해소와 더불어 ‘문란’이라는 죄를 덮어씌워 인생을 망치는  강력범죄 임에도 주류의 시선에서 벗어나 있는 상황이다. 정확히 주류의  시선에서 벗어 났다기 보다 실적이 아니니 범죄라는 정의조자 내려지기가  힘들다.  제대로 된 지원도 없이 여성이라는 이유 하나만으로 강력 범죄를  해결하려는 두 시누이 경찰의 고군분투가 쉬울 리가 없다. 작품은 한정된  자원과 병력으로 큰 사건을 해결하는 과정에서 발생하는 사건 사고들을  코미디로 연출됐으나 결코 웃어넘길 수만 없는 현실이 반영된 고통스런  순간들이다.  결국엔 맨땅에 헤딩하던 시누이의 활약과 역시나 변방에 있던 해커출신  양장미의 지원 덕에 범죄 소탕에 성공한다. 그 과정은 암수살인의  주변부적 설정으로 출발한 작품이 코미디의 장르 변환을 한 뒤에 베테랑의  마지막 액션 장면과 동일한 결말로 장르의 쾌감을 전달한다는 점에서 아주  매력적이다. 아울러 심각한 현실을 반영한 작품에서 그 심각함과 사건의  본질을 가볍게 여기지 않고 코미디라는 장르에 잘 융화시킨 부분이  인상적인 작품이다. more"
38,걸캅스,2019-05-11,5,고생은 했지만 재미나 감동은 형편 없었다.
39,결혼 이야기,2020-02-08,8,두 주연 배우의 빛나는 연기가 영화를 더 현실적으로 만들었다.
40,결혼 이야기,2020-01-16,7,"아카데미와 골든글로브 후보에 오른 작품이라길래 궁금해서 봤는데, 제목과는 달리 내용은 결혼과 정반대인 이혼을 중점적으로 진행해나가는 것이어서 제목과 내용이 서로 달랐다는 점에서 뭔가 좀 엉뚱하다는 느낌이 든 영화였습니다! 전반적으로 여주 스칼렛 요한슨의 연기가 그나마 나아서 어느 정도 볼만했습니다! 전반적으로 그냥 볼만했으니, 별 3개 반 드립니다!! more"
41,경계선,2019-11-06,8,어디서도 본 적 없던 신선함
